,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ,Cash
2020-08-24,0.09155713655054569,0.09589675515890121,0.04876107058065031,0.04109598838620539,0.04466579481959343,0.09753142256377031,0.05095619484782219,0.05833946466445923,0.06535238921642303,0.07115187793970108,0.08061827309429645,0.05373992770910263,0.20033369362354278
2020-08-25,0.09362491443753243,0.09629153832793236,0.048275774729478374,0.04124076924288165,0.045536619424819944,0.09725552894233261,0.05048064924776554,0.05679725185036659,0.06473404094576836,0.07022953927516937,0.08113543279469013,0.054349607601761815,0.20004830360412598
2020-08-26,0.09627357497811317,0.0970869466662407,0.047714821077959435,0.040871544027622164,0.04630127344280481,0.09647674558655125,0.049994662404060364,0.057037515193223955,0.06428203880786895,0.06843853667378426,0.08138522058725357,0.05447370260953903,0.1996634215116501
2020-08-27,0.09928107522428035,0.09806483089923859,0.04629547451418432,0.04077622722098937,0.04706261102110147,0.09594158808176871,0.04959430582821369,0.05647257566452026,0.06396927237510681,0.0663287803530693,0.08188906200230121,0.05485264882445336,0.19947154223918914
2020-08-28,0.10214906744658947,0.09733408764004707,0.045814285602769365,0.04106265518964989,0.047046116180717946,0.09396364254062065,0.05019651241600513,0.05851679220795632,0.06328413113951684,0.06493012458086014,0.08134914822876453,0.05457471944391727,0.1997787296772003
2020-08-31,0.10530565120279789,0.09709402620792389,0.04572990462858684,0.04146896739895691,0.04783041253685951,0.09211485437554075,0.0503361452370882,0.05929044261574745,0.06246623769402504,0.06306902691721916,0.08196033947169781,0.05355302467942238,0.1997809886932373
2020-09-01,0.10814572907984257,0.09819462299346923,0.044773331731900436,0.04167022894590851,0.04879281800240278,0.0906436150020454,0.05020778439939022,0.05868631899356842,0.06168540343642235,0.060769278556108475,0.08278925642371178,0.053670340403914454,0.19997127950191498
2020-09-02,0.11079374030232429,0.09863313958048821,0.044679636006821254,0.04187218146813958,0.05027089882642031,0.08950020342308562,0.04964682422578335,0.057289962843060496,0.060790539532899854,0.05874941200017929,0.08386583849787713,0.05368451736867428,0.2002231329679489
2020-09-03,0.11214263066649437,0.0991273507475853,0.04508439363026362,0.0422889481448907,0.050393123924732205,0.08927807322615991,0.04904832299798727,0.056195440143346785,0.06016760542988777,0.05904424861073494,0.0842480544000864,0.05359856896102429,0.19938322603702546
2020-09-04,0.07663928028196096,0.06619361899793148,0.03179135047101145,0.03095965954223647,0.03553777113556862,0.06273744322461425,0.0337583901360631,0.038346145674586295,0.04354755319654942,0.04030499756336212,0.058868496865034106,0.03760855607688427,0.443706750869751
2020-09-08,0.07519024629145861,0.06488646119832993,0.031763331632688005,0.031770091370318276,0.03518648752942681,0.06223709611076629,0.033882088214159015,0.03896405808627605,0.043774140253663066,0.03771897554397583,0.057504126243293284,0.03652502521872521,0.4505978345870972
2020-09-09,0.07356947585940361,0.06188668869435787,0.03179358609648482,0.03186420088517998,0.03559158723801374,0.06226719896512804,0.034386455081403255,0.03973607998341322,0.044720237329602244,0.03525099754333496,0.05714180245995522,0.036043811962008475,0.45574784874916074
2020-09-10,0.07134694792330265,0.06124694645404816,0.0317632357373963,0.031116364714629086,0.03525589257478714,0.061344054574146864,0.03370931763201952,0.038914576172828674,0.04458206444978714,0.03349752277135849,0.05681290253996849,0.035806712508201596,0.46460345983505247
2020-09-11,0.07092933058738708,0.06109593361616135,0.03145791918704255,0.030964726069664116,0.03551911246031523,0.06206004381674575,0.033633680827915666,0.03843428138643503,0.04552823975682259,0.03233092166483402,0.0558935459703207,0.035981887206435206,0.4661703944206238
2020-09-14,0.0706097736954689,0.06079749278724193,0.030976916179573342,0.03109201348496491,0.03620655741542578,0.06364611110693659,0.03355855662375688,0.038103032112121585,0.04640619307756424,0.031624510139226916,0.0555800873786211,0.036160143092274666,0.465238618850708
2020-09-15,0.06904216669499874,0.06126858480274677,0.031456958307986047,0.03108175218810434,0.036542201042175294,0.06605999664097909,0.033722529746592046,0.037365324422717096,0.0467475026845932,0.03161326758563519,0.05491282977163792,0.03661683015525341,0.4635700583457947
2020-09-16,0.06718544140458108,0.06146627776324749,0.03113220217193824,0.03121813001944762,0.03658365570008755,0.06873899717320456,0.033911836333572865,0.03672158364206553,0.047159884870052335,0.0314522597938776,0.054742681048810485,0.03699411042034626,0.46269294023513796
2020-09-17,0.06532877422869206,0.06217367388308048,0.03141437023264278,0.031061415327745756,0.0364231389015913,0.07135305544798029,0.0342492014169693,0.03625184465199709,0.04715325087308884,0.03156021945178509,0.05436262562870979,0.03757761493325233,0.4610908329486847
2020-09-18,0.0651304792612791,0.06308654211461544,0.031159012406322083,0.030617631441731952,0.03624697159975767,0.0730159737944632,0.034488004818558696,0.03577695190906525,0.04671526625752449,0.03146019130945206,0.053865115344524386,0.03954892717301846,0.45888891220092776
2020-09-21,0.06533982157707215,0.06351342014968395,0.031087932580145326,0.030221225319134782,0.03590487707406283,0.07382407568620693,0.03430483676493168,0.03534015268087387,0.046233101189136504,0.03151369728147983,0.05362766124308109,0.04143618643283844,0.45765300989151003
2020-09-22,0.06307017281651497,0.061950140632689,0.030937540044572387,0.030549682587567694,0.03477030023932457,0.07266000001400244,0.03347697518765926,0.03386218938976526,0.04665107503533363,0.03153219260275364,0.0527294609695673,0.0416609562933445,0.4661493182182312
2020-09-23,0.06149268448352814,0.06105273645371199,0.03156567075453083,0.031639599044659586,0.03404232673346996,0.07352293953226763,0.03330974616110325,0.032920563220977785,0.047645185887813565,0.03189619891345501,0.053035366162657735,0.0436840932816267,0.4641929030418396
2020-09-24,0.06055449098348618,0.060037219896912575,0.03187235104113029,0.031462704360037105,0.033760548941791056,0.07414870246902865,0.03338095098733902,0.034184368886053564,0.049043921381235124,0.03226655125617981,0.052018748596310616,0.044318918511271475,0.4629505336284637
2020-09-25,0.058928041532635686,0.05959693472832441,0.032016515656128064,0.03012649177379405,0.032836966775357725,0.07474215520287544,0.03354575894773006,0.03423593174666166,0.04956727847456932,0.032520555704832074,0.05049842409789562,0.04544429033994675,0.46594067811965945
2020-09-28,0.0567345954477787,0.05963937621563673,0.032432647265573065,0.029534720293181847,0.032475967146456244,0.07760935070073174,0.03450801782310009,0.03411344960331917,0.04983540400862694,0.03252235539257527,0.049215957149863244,0.04635432660579682,0.4650238275527954
2020-09-29,0.05480927228927612,0.05950457751750946,0.03285806267578746,0.029293090664998012,0.03244838751852512,0.0808248607601854,0.03563467748463154,0.03401289787143469,0.04960559457540512,0.032817572727799414,0.048557769134640695,0.04630034491419792,0.463332861661911
2020-09-30,0.05283920578658581,0.05843404624611139,0.03255961143347932,0.028655713741358647,0.03235428724437952,0.0842132316874995,0.03708263300359249,0.033917810581624505,0.04895769953727722,0.03294400535523891,0.048327038809657094,0.045907887443900106,0.46380682587623595
2020-10-01,0.05169377699494362,0.05849688183516264,0.032549670275113664,0.028378245334084264,0.03280960712581873,0.08683046126407135,0.03816722147166729,0.033758639730513094,0.04828710556030273,0.03301998116075992,0.04830330535769463,0.045514152571558955,0.46219096183776853
