,X-GAT-DRL (Hybrid),X-GAT-DRL (GRU),X-GAT-DRL (LSTM),1/N,GMV,HMM-GMV,GLASSO-GAT,TC-MAC,JM-MPC
2025-07-14,-0.0015182400993606349,-0.002263286809627285,-0.0018265620725523846,-0.0033703796679663833,-0.003607878530949127,-0.010890187916966387,-0.0032285667102012194,-0.003063738007138661,-0.0019467313882839399
2025-07-15,-0.005910576489309705,-0.00623609342075937,-0.006339273310753124,-0.008718885223414463,-0.005621242303136209,-0.014559413895114504,-0.008241148108188656,-0.00812557329289032,-0.00667994310389064
2025-07-16,-0.0029136182956684964,-0.003193950562038639,-0.0030583145466914763,-0.004808700513790898,-0.004313505783564153,-0.01239005100454249,-0.004752800712698901,-0.004271138469574498,-0.0029691717000569495
2025-07-17,-0.0003782963987730703,-0.00012385279865245735,0.0,-0.0012205721254445745,-0.0035186256165999907,-0.010194057327492345,-0.0013437306228918366,-0.0010288796352790897,0.0
2025-07-18,0.0,-0.00012072501345994358,-0.00020051529152309566,-0.0012115760245173801,-0.0025805355788923734,-0.008846408626250635,-0.0013965858191699043,-0.0010709478702196629,-0.00024821966869503775
2025-07-21,0.0,0.0,0.0,0.0,0.0,-0.005594705426564595,0.0,0.0,0.0
2025-07-22,0.0,0.0,0.0,0.0,0.0,-0.0037026728145989063,0.0,0.0,0.0
2025-07-23,0.0,0.0,0.0,0.0,-0.0015894772835302051,-0.0043226879547272334,0.0,0.0,0.0
2025-07-24,-0.00258040712499219,-0.0021080919823641686,-0.002119915791997884,-0.0032420095492790013,-0.0024251839816710197,-0.005351219628749848,-0.0025571637981287587,-0.0029576657852341537,-0.0028079210228936224
2025-07-25,-0.003256287128247326,-0.0016124533468030444,-0.0019608200727763148,-0.0033152948378405434,-0.002065701079762561,-0.0032505758025331843,-0.002347437906388028,-0.002729774302675403,-0.0031468169369439636
2025-07-28,-0.005732934210389562,-0.004190205533930458,-0.003956240390700416,-0.007005039762377763,-0.003064270312898909,-0.004337569852594925,-0.005510823420162847,-0.006292591785223456,-0.005987933943219725
2025-07-29,-0.0019937764739140773,-0.001356292843127771,-0.0007305440004007346,-0.0028505573040055188,0.0,0.0,-0.0018154755107128162,-0.002825126509239828,-0.0035376301086028628
2025-07-30,-0.007408226049191224,-0.005313114212619707,-0.004284076728695574,-0.008475681525962231,-0.0025453018034998776,-0.002801416045416505,-0.007079278757481933,-0.007900039090892541,-0.008618276630539268
2025-07-31,-0.009764168253255323,-0.008682829291338345,-0.00849743253155888,-0.01251144852537145,-0.0023735976251499924,-0.0035736030498934035,-0.010615764592541543,-0.012324705261696156,-0.012701010678786928
2025-08-01,-0.009719126596804517,-0.012130774052949045,-0.014033857069928657,-0.014989871141962041,0.0,-0.0011909073530065317,-0.013068096011335295,-0.015209385523834107,-0.017872243631612328
2025-08-04,-0.003369183329217651,-0.004557630118805167,-0.006465999243673193,-0.006681573945559904,0.0,0.0,-0.0039593502641461775,-0.006563387666006837,-0.008134021396597246
2025-08-05,-0.0037009277884961778,-0.005324433473565926,-0.0074249779835952046,-0.0070766173143862465,-0.00015279738167606194,-0.0010358818033975314,-0.004626346737887088,-0.007210744417247117,-0.009464269814203452
2025-08-06,-0.0035303011704965748,-0.003690762175179052,-0.0059293255463095385,-0.006066929481716055,-0.0005464944139599304,-0.0004013543717575896,-0.003822219732961263,-0.006168650714812984,-0.0068752340802742395
2025-08-07,-0.0015075857605739706,-0.002024854807093024,-0.0043853252573791135,-0.003856430124505761,-8.714062013159829e-05,-0.0009049960494373899,-0.0021183111931736276,-0.004385611194439254,-0.004251595340743819
2025-08-08,-0.0012330113592606828,-0.001039773674176292,-0.0035297781291872,-0.003324071432575959,-0.0006062478381115843,-0.0012592279242220616,-0.0015940382367940487,-0.0036860012788680896,-0.0021285876189377495
2025-08-11,-0.004065990504293349,-0.0028999554209332423,-0.005032106048176388,-0.005721210833597223,-0.0012874480769944352,-0.0010265060541004845,-0.00356668412989547,-0.005928564171485018,-0.00522100420700744
2025-08-12,0.0,0.0,0.0,0.0,-0.001197923696985348,0.0,0.0,0.0,0.0
2025-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-14,-0.0031904921770696815,-0.0033044879917694114,-0.0032633940436356257,-0.004318529836312979,-0.0017913327242395916,-0.002815289952082245,-0.003806070378639892,-0.0038593724803526186,-0.0035809109681144147
2025-08-15,-0.003950746914686554,-0.0042592924376301244,-0.004263091510460337,-0.0052396758661784615,-0.0029586793504227105,-0.004942258755108675,-0.004760066619147518,-0.004753471571067425,-0.004610451439673646
2025-08-18,-0.004985846488735901,-0.004758673031828753,-0.004709635427460945,-0.005886858735241418,-0.0035389849812067498,-0.0059768638702769605,-0.005448934103490011,-0.005465351981194688,-0.005082008922506542
2025-08-19,-0.006370470331208078,-0.006579336295502891,-0.006816073170338943,-0.007642517927454073,-0.0035941003163501017,-0.00626472468262862,-0.006917025643388253,-0.0070050045517831006,-0.008808185667089075
2025-08-20,-0.0044848579356639995,-0.006081785800149508,-0.006289327876821349,-0.006169169663173268,-0.002155010359452536,-0.005716571769601386,-0.006011913786282297,-0.005862647504319418,-0.007938739572857734
2025-08-21,-0.006250246395161252,-0.00816378424787545,-0.007824274225431749,-0.008551670540496215,-0.003475529975489944,-0.00843635177851354,-0.008455773036896042,-0.008319311792042483,-0.0104259308593595
2025-08-22,0.0,0.0,0.0,0.0,0.0,-0.00011576191148265913,0.0,0.0,0.0
2025-08-25,-0.0029038722624836755,-0.003059484414280056,-0.0028559697769926506,-0.004120676916729238,-0.0009122751137955465,-0.0022718407468370616,-0.0035609037365706975,-0.0034541788384283567,-0.004086960492785119
2025-08-26,-0.00124938447628542,-0.0018784677692101903,-0.0021592909075567324,-0.00289793692478002,-6.202448660286297e-05,-0.000855671376847944,-0.0021130890566781746,-0.0022349572864390765,-0.002163188546969508
2025-08-27,0.0,-0.0008588883824681703,-0.0009043114855582512,-0.001736846369185474,0.0,0.0,-0.0009599401126036966,-0.001127652345574992,-0.0007714230522780641
2025-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-29,-0.0011541190063785178,-0.0024955408109098576,-0.002431026725623897,-0.0024704813933640324,-0.0008149789696351162,-0.003396843145540007,-0.00276343606450824,-0.002539908414435965,-0.0028771135836159756
