Date,HMM state 0,HMM state 1,Reference stress,Market phase,Window
2020-11-27,0.9994600810189015,0.0005399189810985501,0,Bull,fixed holdout
2020-11-30,0.9952237676752844,0.0047762323247155635,0,Bull,fixed holdout
2020-12-01,0.9957395892421447,0.004260410757855406,0,Bull,fixed holdout
2020-12-02,0.9989219297668136,0.0010780702331864072,0,Bull,fixed holdout
2020-12-03,0.9991039916357625,0.00089600836423759,0,Bull,fixed holdout
2020-12-04,0.999365837125642,0.0006341628743580633,0,Bull,fixed holdout
2020-12-07,0.9996804458024005,0.0003195541975995203,0,Bull,fixed holdout
2020-12-08,0.9997613040061448,0.00023869599385517652,0,Bull,fixed holdout
2020-12-09,0.9985849129714681,0.001415087028531847,0,Bull,fixed holdout
2020-12-10,0.9993464245611471,0.0006535754388528979,0,Bull,fixed holdout
2020-12-11,0.9996552282228223,0.00034477177717767905,0,Bull,fixed holdout
2020-12-14,0.9997501293823836,0.0002498706176163405,0,Bull,fixed holdout
2020-12-15,0.9970335086188877,0.002966491381112168,0,Bull,fixed holdout
2020-12-16,0.9995451095648402,0.0004548904351597914,0,Bull,fixed holdout
2020-12-17,0.9993972025862874,0.0006027974137125955,0,Bull,fixed holdout
2020-12-18,0.9994882072444591,0.000511792755540887,0,Bull,fixed holdout
2020-12-21,0.999242956287019,0.0007570437129810469,0,Bull,fixed holdout
2020-12-22,0.9996738524705676,0.0003261475294324269,0,Bull,fixed holdout
2020-12-23,0.9997268760919283,0.00027312390807171223,0,Bull,fixed holdout
2020-12-24,0.9998002056703036,0.0001997943296964751,0,Bull,fixed holdout
2020-12-28,0.9998555274809847,0.00014447251901532896,0,Bull,fixed holdout
2020-12-29,0.9998919101420778,0.00010808985792216522,0,Bull,fixed holdout
2020-12-30,0.9998534619849412,0.0001465380150587632,0,Bull,fixed holdout
2020-12-31,0.9999160735720579,8.392642794207758e-05,0,Bull,fixed holdout
2021-01-04,0.999803587921423,0.00019641207857697335,0,Bull,fixed holdout
2021-01-05,0.9995061054477847,0.0004938945522152202,0,Bull,fixed holdout
2021-01-06,0.9998315996148001,0.0001684003851999506,0,Bull,fixed holdout
2021-01-07,0.9997685047601965,0.000231495239803502,0,Bull,fixed holdout
2021-01-08,0.9998728355400825,0.00012716445991744384,0,Bull,fixed holdout
2021-01-11,0.9989883627536729,0.001011637246327149,0,Bull,fixed holdout
2021-01-12,0.9994682961811256,0.0005317038188743863,0,Bull,fixed holdout
2021-01-13,0.9997332351639082,0.00026676483609177124,0,Bull,fixed holdout
2021-01-14,0.9998178951426379,0.000182104857362186,0,Bull,fixed holdout
2021-01-15,0.9993589360971599,0.0006410639028401321,0,Bull,fixed holdout
2021-01-19,0.9992154866567089,0.0007845133432910022,0,Bull,fixed holdout
2021-01-20,0.9975108296744314,0.0024891703255685636,0,Bull,fixed holdout
2021-01-21,0.9994341721042126,0.0005658278957874098,0,Bull,fixed holdout
2021-01-22,0.9995178146142017,0.0004821853857982966,0,Bull,fixed holdout
2021-01-25,0.9994838908300488,0.0005161091699511297,0,Bull,fixed holdout
2021-01-26,0.9997264794038018,0.0002735205961981967,0,Bull,fixed holdout
2021-01-27,0.9126714247789462,0.08732857522105367,0,Bull,fixed holdout
2021-01-28,0.9853907580574358,0.014609241942564192,0,Bull,fixed holdout
2021-01-29,0.9085018503648776,0.09149814963512233,0,Bull,fixed holdout
2021-02-01,0.1479271886277141,0.852072811372286,1,Bull,fixed holdout
2021-02-02,0.12074655506580012,0.8792534449342,1,Bull,fixed holdout
2021-02-03,0.22424655884653483,0.7757534411534651,1,Bull,fixed holdout
2021-02-04,0.4510815647245917,0.5489184352754084,1,Bull,fixed holdout
2021-02-05,0.763059973000844,0.23694002699915595,0,Bull,fixed holdout
2021-02-08,0.8416909297575041,0.1583090702424959,0,Bull,fixed holdout
2021-02-09,0.9741391449010268,0.025860855098973283,0,Bull,fixed holdout
2021-02-10,0.9969407637173578,0.003059236282642156,0,Bull,fixed holdout
2021-02-11,0.9992138958846818,0.0007861041153182312,0,Bull,fixed holdout
2021-02-12,0.9995465343347165,0.00045346566528343783,0,Bull,fixed holdout
2021-02-16,0.9994025247856202,0.0005974752143798645,0,Bull,fixed holdout
2021-02-17,0.9996404489438844,0.0003595510561156154,0,Bull,fixed holdout
2021-02-18,0.9993156598862809,0.0006843401137189965,0,Bull,fixed holdout
2021-02-19,0.9997230541427504,0.00027694585724955315,0,Bull,fixed holdout
2021-02-22,0.9996446923384078,0.00035530766159221056,0,Bull,fixed holdout
2021-02-23,0.9998184217587766,0.00018157824122350612,0,Bull,fixed holdout
2021-02-24,0.9996968865793836,0.00030311342061649425,0,Bull,fixed holdout
2021-02-25,0.006272050740889522,0.9937279492591105,0,Bull,fixed holdout
2021-02-26,0.027689058363218326,0.9723109416367817,0,Bull,fixed holdout
2021-03-01,0.0035616983687579685,0.996438301631242,0,Bull,fixed holdout
2021-03-02,0.013234725878492946,0.986765274121507,0,Bull,fixed holdout
2021-03-03,0.006676792193589331,0.9933232078064107,0,Bull,fixed holdout
2021-03-04,0.0027981774269003027,0.9972018225730997,0,Bull,fixed holdout
2021-03-05,0.003524489189900516,0.9964755108100994,0,Bull,fixed holdout
2021-03-08,0.0027883092215513165,0.9972116907784487,0,Bull,fixed holdout
2021-03-09,0.0001242558633863771,0.9998757441366136,0,Bull,fixed holdout
2021-03-10,0.004822794778328915,0.9951772052216712,0,Bull,fixed holdout
2021-03-11,0.0015233238669541019,0.9984766761330459,0,Bull,fixed holdout
2021-03-12,0.006581699655482874,0.9934183003445172,0,Bull,fixed holdout
2021-03-15,0.016182503553052393,0.9838174964469476,0,Bull,fixed holdout
2021-03-16,0.03989055342183946,0.9601094465781606,0,Bull,fixed holdout
2021-03-17,0.11185143983674327,0.8881485601632566,0,Bull,fixed holdout
2021-03-18,6.126921807949081e-05,0.9999387307819205,0,Bull,fixed holdout
2021-03-19,0.007760852943236619,0.9922391470567634,0,Bull,fixed holdout
2021-03-22,0.017073267299898637,0.9829267327001014,0,Bull,fixed holdout
2021-03-23,0.004452179083303091,0.9955478209166969,0,Bull,fixed holdout
2021-03-24,0.023003494759097406,0.9769965052409026,0,Bull,fixed holdout
2021-03-25,0.08141213740472286,0.9185878625952771,0,Bull,fixed holdout
2021-03-26,0.009852090393334314,0.9901479096066657,0,Bull,fixed holdout
2021-03-29,0.014507373089666653,0.9854926269103333,0,Bull,fixed holdout
2021-03-30,0.06327321465343463,0.9367267853465654,0,Bull,fixed holdout
2021-03-31,0.15602179361311408,0.8439782063868859,0,Bull,fixed holdout
2021-04-01,0.01820408973692432,0.9817959102630757,0,Bull,fixed holdout
2021-04-05,0.07415206383281933,0.9258479361671806,0,Bull,fixed holdout
2021-04-06,0.26044230697950566,0.7395576930204943,0,Bull,fixed holdout
2021-04-07,0.5745802215943693,0.42541977840563067,0,Bull,fixed holdout
2021-04-08,0.8293526320277503,0.1706473679722497,0,Bull,fixed holdout
2021-04-09,0.9749141863834947,0.025085813616505342,0,Bull,fixed holdout
2021-04-12,0.996779909861983,0.0032200901380171356,0,Bull,fixed holdout
2021-04-13,0.9984593147864514,0.001540685213548573,0,Bull,fixed holdout
2021-04-14,0.9994305853846362,0.0005694146153637487,0,Bull,fixed holdout
2021-04-15,0.9928679896991046,0.007132010300895423,0,Bull,fixed holdout
2021-04-16,0.9989266404114078,0.0010733595885922512,0,Bull,fixed holdout
2021-04-19,0.9989964495425077,0.0010035504574922754,0,Bull,fixed holdout
2021-04-20,0.9989940677393206,0.0010059322606793687,0,Bull,fixed holdout
2021-04-21,0.9982328965696388,0.0017671034303612919,0,Bull,fixed holdout
2021-04-22,0.9991623904256162,0.0008376095743838365,0,Bull,fixed holdout
2021-04-23,0.9986238100019128,0.001376189998087229,0,Bull,fixed holdout
2021-04-26,0.9994995369420642,0.0005004630579358179,0,Bull,fixed holdout
2021-04-27,0.9996192154870237,0.00038078451297624314,0,Bull,fixed holdout
2021-04-28,0.9997508266166601,0.0002491733833398991,0,Bull,fixed holdout
2021-04-29,0.9998222718648522,0.00017772813514784142,0,Bull,fixed holdout
2021-04-30,0.9995421101582652,0.0004578898417348559,0,Bull,fixed holdout
2021-05-03,0.9997419669044001,0.00025803309559998893,0,Bull,fixed holdout
2021-05-04,0.9996161523998914,0.0003838476001086725,0,Bull,fixed holdout
2021-05-05,0.9998229491922926,0.00017705080770739415,0,Bull,fixed holdout
2021-05-06,0.9996464400562654,0.00035355994373468283,0,Bull,fixed holdout
2021-05-07,0.9994361171670586,0.0005638828329414118,0,Bull,fixed holdout
2021-05-10,0.9934501607649787,0.0065498392350213635,0,Bull,fixed holdout
2021-05-11,0.9983949882200518,0.0016050117799481939,0,Bull,fixed holdout
2021-05-12,0.3120207211367891,0.6879792788632109,0,Bull,fixed holdout
2021-05-13,0.4369664663694994,0.5630335336305006,0,Bull,fixed holdout
2021-05-14,0.030425565307347215,0.9695744346926528,0,Bull,fixed holdout
2021-05-17,0.06230825117270404,0.937691748827296,0,Bull,fixed holdout
2021-05-18,0.1426299488107608,0.8573700511892391,0,Bull,fixed holdout
2021-05-19,0.23345016957341028,0.7665498304265898,0,Bull,fixed holdout
2021-05-20,0.25918367293710287,0.7408163270628971,0,Bull,fixed holdout
2021-05-21,0.6191102357361937,0.38088976426380633,0,Bull,fixed holdout
2021-05-24,0.7431403430826228,0.2568596569173773,0,Bull,fixed holdout
2021-05-25,0.9513432378864488,0.04865676211355124,0,Bull,fixed holdout
2021-05-26,0.9938152870239655,0.006184712976034484,0,Bull,fixed holdout
