Reference,Comparator,Metric,Direction-adjusted effect,Confidence low,Confidence high,Probability reference favourable,Two-sided centred-bootstrap p-value,Bootstrap repetitions,Block length,Holm p-value
X-GAT-DRL (Hybrid),HMM-GMV,Sharpe ratio,0.4653313213879156,-0.014703564928390905,0.9374895330186563,0.9714,0.054989002199560086,5000,20,0.3849230153969206
X-GAT-DRL (Hybrid),HMM-GMV,Daily CVaR 95%,-0.0026445293517954258,-0.004501108184095919,-0.0011917771776182933,0.0,0.005198960207958408,5000,20,0.015596880623875225
X-GAT-DRL (Hybrid),HMM-GMV,Maximum drawdown,0.03697908996125354,-0.09523552210127116,0.06755639225125197,0.4014,0.3233353329334133,5000,20,1.0
X-GAT-DRL (Hybrid),HMM-GMV,Mean turnover,0.0002060422024743533,-0.0025941076620784836,0.003254878777855192,0.554,0.8790241951609679,5000,20,0.8790241951609679
X-GAT-DRL (Hybrid),GLASSO-GAT,Annualised return,-0.007244670610889958,-0.04760749226446445,0.027292227154341125,0.3542,0.6968606278744252,5000,20,1.0
X-GAT-DRL (Hybrid),GLASSO-GAT,Sharpe ratio,0.15840578372360004,-0.10574952206354342,0.41186518241324294,0.879,0.23295340931813638,5000,20,1.0
X-GAT-DRL (Hybrid),GLASSO-GAT,Daily CVaR 95%,0.005487961713539364,0.0035979367637474324,0.007968776148382465,1.0,0.0001999600079984003,5000,20,0.0015996800639872025
X-GAT-DRL (Hybrid),GLASSO-GAT,Maximum drawdown,0.10717264409723537,0.014058791491224437,0.1355540825733819,0.994,0.004599080183963208,5000,20,0.03679264147170566
X-GAT-DRL (Hybrid),GLASSO-GAT,Mean turnover,0.09585780368141439,0.08657017928681024,0.10615838991532732,1.0,0.0001999600079984003,5000,20,0.0015996800639872025
X-GAT-DRL (Hybrid),TC-MAC,Annualised return,0.012190963346974781,-0.023782830848515076,0.0457592484231479,0.752,0.48990201959608076,5000,20,1.0
X-GAT-DRL (Hybrid),TC-MAC,Sharpe ratio,0.32494466448523757,0.0859120502351252,0.5432018154378228,0.9964,0.005598880223955209,5000,20,0.04479104179164167
X-GAT-DRL (Hybrid),TC-MAC,Daily CVaR 95%,0.005964588269841109,0.0035770006333034287,0.009418499643921075,1.0,0.0007998400319936012,5000,20,0.003999200159968006
X-GAT-DRL (Hybrid),TC-MAC,Maximum drawdown,0.12345246908548857,0.037139025003128705,0.1973555308184404,1.0,0.013397320535892822,5000,20,0.09378124375124976
X-GAT-DRL (Hybrid),TC-MAC,Mean turnover,0.08527312831753009,0.07365117250564146,0.09828657651782526,1.0,0.0001999600079984003,5000,20,0.0015996800639872025
X-GAT-DRL (Hybrid),JM-MPC,Annualised return,-0.025893935916271538,-0.06723193978631986,0.01543722743295168,0.1112,0.21915616876624675,5000,20,1.0
X-GAT-DRL (Hybrid),JM-MPC,Sharpe ratio,0.035816708983145706,-0.15289332625243587,0.20598454818431014,0.644,0.6892621475704859,5000,20,1.0
X-GAT-DRL (Hybrid),JM-MPC,Daily CVaR 95%,0.006825737016399739,0.004868068401973844,0.009374038387464225,1.0,0.0001999600079984003,5000,20,0.0015996800639872025
X-GAT-DRL (Hybrid),JM-MPC,Maximum drawdown,0.08549604756754903,0.032471945398479966,0.16373637678164227,1.0,0.017196560687862426,5000,20,0.10317936412717456
X-GAT-DRL (Hybrid),JM-MPC,Mean turnover,-0.02050627007964027,-0.022543537981613446,-0.018557334099172696,0.0,0.0001999600079984003,5000,20,0.0015996800639872025
