Method,Annualised return,Annualised volatility,Sharpe ratio,Daily Sharpe ratio,Sortino ratio,Maximum drawdown,Calmar ratio,Daily VaR 95%,Daily CVaR 95%,Skewness,Excess kurtosis,Final wealth,Mean turnover,Total transaction cost,Mean HHI,Mean cash weight,Probabilistic Sharpe probability vs zero,Deflated Sharpe probability,Deflated Sharpe benchmark,DSR effective trials,Policy seed
X-GAT-DRL (GRU),0.07886009675987538,0.06092166866491664,1.2459444962695039,0.07848712582187502,1.151005984308143,-0.09394659475756817,0.8394141050388901,-0.00583777951400101,-0.009153873804861693,-0.4738601558539405,3.396647184592485,1.7760791498263517,0.016382471419590747,0.04220863368154325,0.18150773498431397,0.29882046262553846,0.9995976540781231,0.9943919421640632,0.3031168294434398,9.0,211
X-GAT-DRL (LSTM),0.07945999189588959,0.08616459856659285,0.8873819394376112,0.05589980784957378,0.8217698951629597,-0.1572816276388862,0.5052083519781936,-0.008009019028179127,-0.01274359724599747,-0.820901658238009,9.31531367060382,1.7835662863494308,0.017711757439061112,0.04557321007175801,0.15779262665065188,0.27686455735833243,0.9912564211548005,0.941160630247485,0.3031168294434398,9.0,211
1/N,0.10480560921389448,0.11927741401229298,0.8356100025809712,0.052638482377792624,0.7711785684909261,-0.22133417988570858,0.4735175076348961,-0.01080507703210799,-0.01781480960053653,-0.9131688152362422,13.588383759744596,2.1260041482358183,0.0030384808350539453,0.010852006202927998,0.08333333333333334,0.0,0.9872349509451491,0.92265558832669,0.3031168294434398,9.0,211
GMV,0.04490991905702302,0.04120484862480679,1.0661531666306048,0.0671613366287759,1.0166003662303251,-0.1000402531592276,0.4489184866969779,-0.004086370285077459,-0.005867860579563099,-0.27472705763002414,4.483236817329787,1.394371360989643,0.001962731287015105,0.007598135958793766,0.2884772703705104,0.5,0.9981045665040833,0.9808658018311531,0.3031168294434398,9.0,211
HMM-GMV,0.04241237617638127,0.05955857571352398,0.6974246618775498,0.04393362413169776,0.6656499442880531,-0.16738241985901114,0.25338608566004656,-0.006143187555766556,-0.008761588611080841,-0.21974592361199,1.9992657505024178,1.3693474157236967,0.0207123123366009,0.04988864576509975,0.22357073103060396,0.09837594290525231,0.9717416395216413,0.8595256775946303,0.3031168294434398,9.0,211
GLASSO-GAT,0.09266131031792857,0.11314788849103907,0.7831899537391459,0.04933632968852289,0.7195098548284351,-0.22432348938903013,0.4130700292256594,-0.010265302802652433,-0.01689167282815304,-0.9237880656756983,14.495763556705635,1.955410712851145,0.06913521758703572,0.15841775820645937,0.08217307178174552,0.07013548854599276,0.9819769607237689,0.9006104824494374,0.3031168294434398,9.0,211
TC-MAC,0.06962424414464685,0.1210857346058634,0.5558657534711894,0.03501625109576918,0.5104035163287404,-0.25152258012991546,0.2768111082062088,-0.010390018961348814,-0.017489686032138036,-0.9929249771842165,29.296430208700784,1.664202746316379,0.1072225220795654,0.24156032615612905,0.08692712514825678,0.0734395623374085,0.9326614950286991,0.7518053062088776,0.3031168294434398,9.0,211
JM-MPC,0.10917587312394916,0.1204060649415344,0.8605653126528966,0.05421051914781215,0.7904975414207467,-0.21589937746530674,0.5056794253216077,-0.011300213267973806,-0.018231854979276006,-0.7271568015498572,10.11553468445037,2.1904777631236083,5.44862758611867e-11,4.482414723395991e-07,0.0854622099679799,0.0377401070062255,0.9895979638075479,0.9328468740115594,0.3031168294434398,9.0,211
X-GAT-DRL (Hybrid),0.08082667460254211,0.08751131738893261,0.8881844097731177,0.05595035872915133,0.8294370702525443,-0.15053653555247315,0.5369239720171985,-0.008216332963238803,-0.013176146857898053,-0.6093431107217485,7.362426709730709,1.800725864515378,0.020902050920900455,0.05286312295890615,0.17022995983753314,0.28178547454197184,0.9916580047817034,0.9583350841853945,0.24561439207728122,9.0,307
X-GAT-DRL (GRU),0.07738309681556088,0.08813226419100009,0.8457180007709442,0.05327522641263452,0.7763828427990358,-0.155566383052252,0.49742814159000703,-0.008291405947653064,-0.013215005262496617,-0.6986984817148701,8.085513138684687,1.757761236592316,0.016408519378440428,0.04233500222580004,0.16752751032739,0.3051891616279427,0.9885746895982547,0.9468388924959316,0.24561439207728122,9.0,307
