Phase,Start,End,Trading days,Benchmark cumulative return,Minimum drawdown,Mean annualised volatility,Mean VIX,Mean high-yield spread
Sideways,2010-11-08,2010-12-02,18,-0.0013038747649473713,-0.13312697413063934,0.12675020825954442,20.167777777777776,
Bull,2010-12-03,2011-08-01,166,0.0661247321165707,-0.0993792438933152,0.12265328503313357,18.129518072289155,
Sideways,2011-08-02,2011-08-03,2,-0.020267079577292294,-0.0756272047379778,0.16531953071056266,24.085,
Bear,2011-08-04,2011-10-26,59,-0.009724615534931062,-0.18605438518313644,0.34930425182634395,35.77,
Sideways,2011-10-27,2011-10-28,2,0.03459423712680964,-0.04781756092778067,0.28958212034072417,24.995,
Bear,2011-10-31,2011-11-07,6,-0.01819575939206431,-0.09668556677269169,0.28451413245694485,31.33,
Sideways,2011-11-08,2011-11-08,1,0.012830001540351521,-0.05314902986041137,0.2619402690115751,27.48,
Bear,2011-11-09,2011-11-10,2,-0.02783838981458123,-0.08809673810365282,0.2978214198465958,34.485,
Sideways,2011-11-11,2011-11-11,1,0.018822671466565133,-0.06218171467791145,0.3035031804880787,30.04,
Bear,2011-11-14,2011-12-02,14,-0.01421160606823375,-0.13859346040233889,0.290688834514834,31.514285714285716,
Sideways,2011-12-05,2011-12-07,3,0.014976693818758659,-0.065439879296884,0.27804497646110465,28.213333333333335,
Bear,2011-12-08,2011-12-08,1,-0.021936147754622493,-0.08224729065553305,0.28376537211139996,30.59,
Sideways,2011-12-09,2011-12-09,1,0.016942248585813946,-0.06669849611351475,0.2579150528905633,26.38,
Bear,2011-12-12,2011-12-21,8,-0.008667312842153645,-0.10369814269689803,0.2554455703058738,24.511249999999997,
Sideways,2011-12-22,2012-01-11,13,0.04050908470301313,-0.06986995292900433,0.207414502303774,21.806153846153848,
Bull,2012-01-12,2012-01-12,1,0.002399383311060488,-0.03499834267362978,0.15595755583900814,20.47,
Sideways,2012-01-13,2012-01-13,1,-0.005173683729237655,-0.039990956046826565,0.1526422612544966,20.91,
Bull,2012-01-17,2012-01-17,1,0.0038811589894856002,-0.03626500831590029,0.14492382177170532,22.2,
Sideways,2012-01-18,2012-01-18,1,0.01105628430887906,-0.02560968024942567,0.14743350132223446,20.89,
Bull,2012-01-19,2012-01-19,1,0.005276274494534716,-0.020468529457604245,0.1473512275776092,19.87,
Sideways,2012-01-20,2012-01-24,3,3.469446951953614e-18,-0.020468529457604245,0.11547331022054415,18.62,
Bull,2012-01-25,2012-11-13,203,0.06384852902343346,-0.09686961020863405,0.1239314434761041,17.745418719211823,
Sideways,2012-11-14,2012-11-16,3,-0.010305593773053021,-0.07345555645325219,0.1411168540671249,17.439999999999998,
Bull,2012-11-19,2014-10-10,477,0.4555699832378118,-0.05696022848947557,0.10611576947727688,14.150251572327043,
Sideways,2014-10-13,2014-10-17,5,-0.010863914270982997,-0.07273475411291275,0.16134706374760527,24.174,
Bull,2014-10-20,2015-06-26,173,0.12989157403670504,-0.05267302343472602,0.12186944103213732,15.095780346820808,
Sideways,2015-06-29,2015-06-30,2,-0.018920918274113314,-0.03316541636995285,0.11381651534028839,18.54,
Bull,2015-07-01,2015-08-19,35,0.011999105941646881,-0.037353936920751285,0.11867064035262632,13.969142857142858,
Sideways,2015-08-20,2015-08-21,2,-0.05035524116786151,-0.0694294637306696,0.14120112920087408,23.585,
Bear,2015-08-24,2015-09-30,27,-0.0263041037143862,-0.1191028370604641,0.2770956311270092,25.910370370370373,
Sideways,2015-10-01,2015-10-02,2,0.01758576470014806,-0.0915433647148498,0.19739562900176144,21.745,
Bear,2015-10-05,2015-10-05,1,0.017794822064851168,-0.06156564717845714,0.20449520678192026,19.54,
Sideways,2015-10-06,2015-10-27,16,0.04096333793639185,-0.0647806477711812,0.16938951797335922,16.395625,
Bull,2015-10-28,2015-10-29,2,0.010794242447929918,-0.012579609897191424,0.12910827612376802,14.469999999999999,
