Date,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
2008-01-24,96.1496810913086,38.58391571044922,53.7046127319336,41.11773300170898,30.605600357055664,56.68048477172852,53.57559967041016,51.72412872314453,31.203840255737305,90.08000183105467,26.201187133789062,28.049591064453125
2008-01-25,94.76077270507812,37.793495178222656,53.3152961730957,40.521575927734375,30.14004135131836,57.20685195922852,54.47836685180664,52.28390121459961,31.25138664245605,90.3000030517578,26.783803939819336,27.88678741455078
2008-01-28,96.32775115966795,38.08561706542969,54.44434356689453,40.97443389892578,30.88584899902344,56.9975700378418,54.27391052246094,52.26932907104492,31.108810424804688,91.75,26.90865135192871,28.831073760986328
2008-01-29,96.80500030517578,38.15434265136719,54.58450698852539,41.22091674804688,30.73442840576172,56.76925277709961,53.90488052368164,52.181671142578125,31.14051628112793,91.1500015258789,27.13337516784668,28.57058525085449
2008-01-30,96.09272003173828,38.12000274658203,53.8992805480957,41.03174591064453,30.329872131347656,56.7438850402832,53.55292510986328,52.17193603515625,31.260894775390625,92.05999755859376,26.90032768249512,27.80770874023437
2008-01-31,97.84488677978516,38.772926330566406,55.238582611083984,41.4673957824707,30.937833786010746,57.03563690185547,53.93331146240234,52.3422966003418,31.32424545288086,91.4000015258789,27.033496856689453,28.36591148376465
2008-02-01,99.41902160644533,39.16813278198242,56.5389518737793,42.16101837158203,31.55482292175293,57.22077560424805,54.25746154785156,52.56435012817383,31.341480255126957,89.3499984741211,26.55907821655273,29.55209732055664
2008-02-04,98.16543579101562,38.6182861328125,55.90045166015625,41.73108673095703,31.652006149291992,56.90264129638672,53.69911575317383,52.42251968383789,31.347841262817383,89.0999984741211,27.025177001953125,29.245059967041016
2008-02-05,95.53710174560548,37.51858901977539,54.46769332885742,39.81650924682617,29.947925567626957,57.303443908691406,54.10933303833008,52.603458404541016,31.09587287902832,87.68000030517578,26.800451278686523,28.2124080657959
2008-02-06,94.7678680419922,36.779727935791016,53.7435302734375,39.782108306884766,29.457490921020508,57.20163345336914,53.94413375854492,52.31980514526367,31.03210830688477,88.94999694824219,26.675600051879883,27.75189208984375
2008-02-07,95.39463806152344,37.0374755859375,54.592281341552734,39.58146667480469,29.956972122192383,56.55908584594727,52.78181457519531,51.71831893920898,30.901338577270508,89.8499984741211,27.00020408630371,28.40777587890625
2008-02-08,94.7821044921875,37.45843505859375,54.24966812133789,39.17446899414063,29.900468826293945,57.03628540039063,53.3857536315918,51.91393661499024,30.66852569580078,91.0,27.80754852294922,27.500694274902344
