Lag,Source,Target,Mean signed weight,Mean absolute weight,Edge persistence
2,IWM,EFA,0.0,0.0,0.0
2,IEF,EFA,0.0,0.0,0.0
2,TLT,EFA,0.0,0.0,0.0
2,LQD,EFA,0.0,0.0,0.0
2,DBC,EFA,0.0,0.0,0.0
2,VNQ,EFA,0.0,0.0,0.0
2,SPY,EEM,0.0,0.0,0.0
2,QQQ,EEM,0.0,0.0,0.0
2,IWM,EEM,0.0,0.0,0.0
2,EFA,EEM,0.0,0.0,0.0
2,IEF,EEM,0.0,0.0,0.0
2,TLT,EEM,0.0,0.0,0.0
2,HYG,EEM,0.0,0.0,0.0
2,DBC,EEM,0.0,0.0,0.0
2,VNQ,EEM,0.0,0.0,0.0
2,SPY,IEF,0.0,0.0,0.0
2,IWM,IEF,0.0,0.0,0.0
2,EFA,IEF,0.0,0.0,0.0
2,EEM,IEF,0.0,0.0,0.0
2,TLT,IEF,0.0,0.0,0.0
2,LQD,IEF,0.0,0.0,0.0
2,HYG,IEF,0.0,0.0,0.0
2,GLD,IEF,0.0,0.0,0.0
2,DBC,IEF,0.0,0.0,0.0
2,VNQ,IEF,0.0,0.0,0.0
2,SPY,TLT,0.0,0.0,0.0
2,QQQ,TLT,0.0,0.0,0.0
2,IWM,TLT,0.0,0.0,0.0
2,EFA,TLT,0.0,0.0,0.0
2,LQD,TLT,0.0,0.0,0.0
2,HYG,TLT,0.0,0.0,0.0
2,GLD,TLT,0.0,0.0,0.0
2,DBC,TLT,0.0,0.0,0.0
2,VNQ,TLT,0.0,0.0,0.0
2,QQQ,LQD,0.0,0.0,0.0
2,IWM,LQD,0.0,0.0,0.0
2,EFA,LQD,0.0,0.0,0.0
2,EEM,LQD,0.0,0.0,0.0
2,TLT,LQD,0.0,0.0,0.0
2,HYG,LQD,0.0,0.0,0.0
2,GLD,LQD,0.0,0.0,0.0
2,DBC,LQD,0.0,0.0,0.0
2,VNQ,LQD,0.0,0.0,0.0
2,SPY,HYG,0.0,0.0,0.0
2,QQQ,HYG,0.0,0.0,0.0
2,IWM,HYG,0.0,0.0,0.0
2,EFA,HYG,0.0,0.0,0.0
2,EEM,HYG,0.0,0.0,0.0
2,IEF,HYG,0.0,0.0,0.0
2,TLT,HYG,0.0,0.0,0.0
2,GLD,HYG,0.0,0.0,0.0
2,DBC,HYG,0.0,0.0,0.0
2,VNQ,HYG,0.0,0.0,0.0
2,SPY,GLD,0.0,0.0,0.0
2,QQQ,GLD,0.0,0.0,0.0
2,IWM,GLD,0.0,0.0,0.0
2,EFA,GLD,0.0,0.0,0.0
2,EEM,GLD,0.0,0.0,0.0
2,IEF,GLD,0.0,0.0,0.0
2,TLT,GLD,0.0,0.0,0.0
2,LQD,GLD,0.0,0.0,0.0
2,HYG,GLD,0.0,0.0,0.0
2,DBC,GLD,0.0,0.0,0.0
2,VNQ,GLD,0.0,0.0,0.0
2,SPY,DBC,0.0,0.0,0.0
2,QQQ,DBC,0.0,0.0,0.0
2,IWM,DBC,0.0,0.0,0.0
2,EFA,DBC,0.0,0.0,0.0
2,EEM,DBC,0.0,0.0,0.0
2,IEF,DBC,0.0,0.0,0.0
2,TLT,DBC,0.0,0.0,0.0
2,LQD,DBC,0.0,0.0,0.0
2,GLD,DBC,0.0,0.0,0.0
2,VNQ,DBC,0.0,0.0,0.0
2,SPY,VNQ,0.0,0.0,0.0
2,QQQ,VNQ,0.0,0.0,0.0
2,IWM,VNQ,0.0,0.0,0.0
2,EFA,VNQ,0.0,0.0,0.0
2,EEM,VNQ,0.0,0.0,0.0
2,IEF,VNQ,0.0,0.0,0.0
2,TLT,VNQ,0.0,0.0,0.0
2,HYG,VNQ,0.0,0.0,0.0
2,DBC,VNQ,0.0,0.0,0.0
3,QQQ,SPY,0.0,0.0,0.0
3,IWM,SPY,0.0,0.0,0.0
3,EFA,SPY,0.0,0.0,0.0
3,EEM,SPY,0.0,0.0,0.0
3,IEF,SPY,0.0,0.0,0.0
3,LQD,SPY,0.0,0.0,0.0
3,GLD,SPY,0.0,0.0,0.0
3,VNQ,SPY,0.0,0.0,0.0
3,SPY,QQQ,0.0,0.0,0.0
3,IWM,QQQ,0.0,0.0,0.0
3,EFA,QQQ,0.0,0.0,0.0
3,EEM,QQQ,0.0,0.0,0.0
3,IEF,QQQ,0.0,0.0,0.0
3,TLT,QQQ,0.0,0.0,0.0
3,LQD,QQQ,0.0,0.0,0.0
3,GLD,QQQ,0.0,0.0,0.0
3,VNQ,QQQ,0.0,0.0,0.0
3,SPY,IWM,0.0,0.0,0.0
3,QQQ,IWM,0.0,0.0,0.0
3,EFA,IWM,0.0,0.0,0.0
3,EEM,IWM,0.0,0.0,0.0
3,IEF,IWM,0.0,0.0,0.0
3,TLT,IWM,0.0,0.0,0.0
3,LQD,IWM,0.0,0.0,0.0
3,HYG,IWM,0.0,0.0,0.0
3,GLD,IWM,0.0,0.0,0.0
3,DBC,IWM,0.0,0.0,0.0
3,VNQ,IWM,0.0,0.0,0.0
3,SPY,EFA,0.0,0.0,0.0
